value_id,manuscript_section,claim_label,value,unit,display_value,evidence_status,eligibility,source_artifact,source_selector,source_sha256,derivation,claim_limit
dispatch_timeseries_rows,Finite dispatch sensitivity,Finite-dispatch timestep rows,367920,count,"367,920",DERIVED_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_metadata.json,scenario_count * intervals_per_scenario,5316c7878d5e1f1e9ca3be80f6b0a4e7aeba10400dc329b9d9174b26cb9a6fd8,Product of scenario count and calendar intervals per scenario.,Row count is not independent empirical replication.
dispatch_served_fraction_min,Finite dispatch sensitivity,Minimum nonzero-demand served fraction,0.944121312873576,fraction,94.4121%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,min(demand_served_fraction where demand_mwh > 0),8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Minimum across the six nonzero-demand dispatch sensitivities.,Demand is represented by bounds rather than a measured synchronized trace.
dispatch_served_fraction_max,Finite dispatch sensitivity,Maximum nonzero-demand served fraction,1,fraction,100.0000%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,max(demand_served_fraction where demand_mwh > 0),8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Maximum across the six nonzero-demand dispatch sensitivities.,Demand is represented by bounds rather than a measured synchronized trace.
dispatch_residual_rejection_min,Finite dispatch sensitivity,Minimum residual source rejection,63501.344584608,MWh_th,"63,501.3",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,min(residual_source_rejection_mwh),8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Minimum across all seven finite-dispatch scenarios.,Does not establish an environmentally admissible rejection pathway.
dispatch_residual_rejection_max,Finite dispatch sensitivity,Maximum residual source rejection,75573.5905508154,MWh_th,"75,573.6",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,max(residual_source_rejection_mwh),8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Maximum across all seven finite-dispatch scenarios.,Does not establish an environmentally admissible rejection pathway.
dispatch_max_balance_error,Finite dispatch sensitivity,Maximum absolute timestep thermal-balance error,1.13686837721616e-13,MWh_th,1.137e-13,NUMERICAL_DIAGNOSTIC,VALIDATION,results/dispatch/finite_dispatch_summary.csv,max(maximum_absolute_thermal_balance_error_mwh),8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Maximum absolute scenario-level timestep balance diagnostic.,Numerical closure does not validate missing empirical inputs.
case_c_avoided_operational_emissions,Conditional techno-economics,Normalized Case-C avoided operational emissions,107.206109476589,kg_CO2e_per_MWh_useful_heat,107.21,GENERIC_COMPARATOR_OUTPUT,CONDITIONAL,results/techno_economic/energy_emissions.csv,scenario_id == C_case_cop_SRTV_total_output; avoided_operational_co2e_kg / useful_heat_delivered_mwh,c07eb0a28410a234da582b8ddaee4be2abfbe14346712883f6a5c4e0922d54f6,Avoided operational emissions divided by useful heat delivered.,Operational energy comparison only; not case-specific lifecycle CO2e.
generic_full_system_lcoh,Conditional techno-economics,Generic full-system comparator LCOH,56.5115507190526,USD_2025_per_MWh_th,56.51,GENERIC_COMPARATOR_OUTPUT,CONDITIONAL,results/techno_economic/economics.csv,scenario_id == C_generic_full_system; lcoh_usd2025_per_mwh_th,be2efbc04732130430d2c0f566eef4fdde6a4779afec7c7e828d01411ea6aca5,Direct selection of the generic full-system comparator.,Not a Frontier-specific installed-cost estimate.
techno_economic_sensitivity_count,Conditional techno-economics,Techno-economic sensitivity cases,3888,count,"3,888",MODEL_OUTPUT,CONDITIONAL,results/techno_economic/sensitivity.csv,row_count,26b3815eb1c57abb67e744a51cd1afeadb7674794d66094268b082963abb2cf6,Number of predefined sensitivity combinations.,Sensitivity coverage does not replace case-specific calibration.
sensitivity_avoided_emissions_min,Conditional techno-economics,Minimum avoided operational emissions sensitivity,-26.3518104475166,kg_CO2e_per_MWh_useful_heat,-26.35,GENERIC_SENSITIVITY_OUTPUT,CONDITIONAL,results/techno_economic/sensitivity.csv,min(avoided_operational_co2e_kg_per_mwh),26b3815eb1c57abb67e744a51cd1afeadb7674794d66094268b082963abb2cf6,Minimum across the predefined techno-economic sensitivity grid.,Operational energy comparison only; not lifecycle CO2e.
sensitivity_avoided_emissions_max,Conditional techno-economics,Maximum avoided operational emissions sensitivity,149.247718461677,kg_CO2e_per_MWh_useful_heat,149.25,GENERIC_SENSITIVITY_OUTPUT,CONDITIONAL,results/techno_economic/sensitivity.csv,max(avoided_operational_co2e_kg_per_mwh),26b3815eb1c57abb67e744a51cd1afeadb7674794d66094268b082963abb2cf6,Maximum across the predefined techno-economic sensitivity grid.,Operational energy comparison only; not lifecycle CO2e.
sensitivity_incremental_npc_min,Conditional techno-economics,Minimum incremental NPC sensitivity,-4690918.07759713,USD_2025,"-4,690,918",GENERIC_SENSITIVITY_OUTPUT,CONDITIONAL,results/techno_economic/sensitivity.csv,min(incremental_npc_usd2025),26b3815eb1c57abb67e744a51cd1afeadb7674794d66094268b082963abb2cf6,Minimum across the predefined techno-economic sensitivity grid.,Not a Frontier-specific project NPC.
sensitivity_incremental_npc_max,Conditional techno-economics,Maximum incremental NPC sensitivity,6806847.50666369,USD_2025,"6,806,848",GENERIC_SENSITIVITY_OUTPUT,CONDITIONAL,results/techno_economic/sensitivity.csv,max(incremental_npc_usd2025),26b3815eb1c57abb67e744a51cd1afeadb7674794d66094268b082963abb2cf6,Maximum across the predefined techno-economic sensitivity grid.,Not a Frontier-specific project NPC.
supported_practical_mode_count,Practical endpoint,Practical modes selected as supported,0,count,0,EVIDENCE_GATE_OUTPUT,EXCLUDED,results/techno_economic/practical_pareto_modes.csv,sum(selected_practical_mode == true),a525d3903c66bc15b90052c8a83b971369c7f8d887e82444ad66728e07a43796,Count of practical modes passing the current evidence gates.,Zero means no calibrated practical annual endpoint is supported.
